2017-11-21 17:00:43,418 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring-context:jar:${spring-version} is missing, no dependency information available
2017-11-21 17:00:43,422 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring-webmvc:jar:${spring-version} is missing, no dependency information available
2017-11-21 17:00:43,426 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring-test:jar:${spring-version} is missing, no dependency information available
2017-11-21 17:00:43,430 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring-jdbc:jar:${spring-version} is missing, no dependency information available
2017-11-21 17:00:43,433 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring-tx:jar:${spring-version} is missing, no dependency information available
2017-11-21 17:00:44,391 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: lch:wuliu:0.0.1-SNAPSHOT @ F:\WorkSpace\wuliu\wuliu\pom.xml.
2017-11-21 17:00:44,395 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring-context:jar:${spring-version} is missing, no dependency information available
2017-11-21 17:00:44,397 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring-webmvc:jar:${spring-version} is missing, no dependency information available
2017-11-21 17:00:44,399 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring-test:jar:${spring-version} is missing, no dependency information available
2017-11-21 17:00:44,401 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring-jdbc:jar:${spring-version} is missing, no dependency information available
2017-11-21 17:00:44,403 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring-tx:jar:${spring-version} is missing, no dependency information available
2017-11-21 17:00:44,472 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring-context:jar:${spring-version} is missing, no dependency information available
2017-11-21 17:00:44,474 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring-webmvc:jar:${spring-version} is missing, no dependency information available
2017-11-21 17:00:44,477 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring-test:jar:${spring-version} is missing, no dependency information available
2017-11-21 17:00:44,479 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring-jdbc:jar:${spring-version} is missing, no dependency information available
2017-11-21 17:00:44,481 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring-tx:jar:${spring-version} is missing, no dependency information available
2017-11-21 17:00:45,778 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-21 17:00:45,782 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-21 17:00:45,786 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-21 17:00:45,787 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\WorkSpace\wuliu\wuliu\src\test\resources
2017-11-21 17:00:45,788 [Worker-7] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of wuliu
2017-11-21 17:00:45,788 [Worker-7] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for wuliu
2017-11-21 17:00:45,796 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-21 17:09:29,951 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: XQXD:XQXD:1.0-SNAPSHOT @ F:\WorkSpace\wuliu\XQXD\pom.xml.
2017-11-21 17:09:33,621 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-21 17:09:33,625 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 17 resources
2017-11-21 17:09:33,747 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-21 17:09:33,748 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\WorkSpace\wuliu\XQXD\src\test\resources
2017-11-21 17:09:40,852 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-21 17:09:40,928 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 17 resources
2017-11-21 17:09:40,983 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-21 17:09:40,985 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\WorkSpace\wuliu\XQXD\src\test\resources
2017-11-21 17:10:00,303 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-21 17:10:00,308 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 17 resources
2017-11-21 17:10:00,314 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-21 17:10:00,315 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\WorkSpace\wuliu\XQXD\src\test\resources
2017-11-21 17:10:00,317 [Worker-26] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of XQXD
2017-11-21 17:10:00,317 [Worker-26] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for XQXD
2017-11-21 17:10:00,326 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-21 17:10:21,181 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: XQXD:XQXD:1.0-SNAPSHOT @ F:\WorkSpace\wuliu\wuliu\pom.xml.
